type,id,title,csv,markdown,source,png,pdf,svg,tif
table,supplementary_table_s1_dataset_metadata,Supplementary Table S1. Dataset and sample metadata,results/nature_supporting_package/tables/supplementary_table_s1_dataset_metadata.csv,results/nature_supporting_package/tables/supplementary_table_s1_dataset_metadata.md,data_manifest + benchmark datasheet,,,,
table,supplementary_table_s2_benchmark_inventory,Supplementary Table S2. Xenium-to-Visium benchmark inventory,results/nature_supporting_package/tables/supplementary_table_s2_benchmark_inventory.csv,results/nature_supporting_package/tables/supplementary_table_s2_benchmark_inventory.md,results/nature_benchmark_datasheet,,,,
table,supplementary_table_s3_cell_type_dictionary,Supplementary Table S3. Cell-type dictionary and benchmark support,results/nature_supporting_package/tables/supplementary_table_s3_cell_type_dictionary.csv,results/nature_supporting_package/tables/supplementary_table_s3_cell_type_dictionary.md,benchmark_datasheet cell_type_summary,,,,
table,supplementary_table_s4_model_hyperparameters,Supplementary Table S4. Model architecture and hyperparameter summary,results/nature_supporting_package/tables/supplementary_table_s4_model_hyperparameters.csv,results/nature_supporting_package/tables/supplementary_table_s4_model_hyperparameters.md,results/nature_manuscript_methods/manuscript_methods.json,,,,
table,supplementary_table_s5_main_model_metrics,Supplementary Table S5. Main model metrics,results/nature_supporting_package/tables/supplementary_table_s5_main_model_metrics.csv,results/nature_supporting_package/tables/supplementary_table_s5_main_model_metrics.md,results/nature_manuscript_tables/table_2_main_model_performance.csv,,,,
table,supplementary_table_s6_baseline_configuration,Supplementary Table S6. Baseline configuration and protocol,results/nature_supporting_package/tables/supplementary_table_s6_baseline_configuration.csv,results/nature_supporting_package/tables/supplementary_table_s6_baseline_configuration.md,results/nature_main/cytassist_rep2_radius55/baseline_comparison/baseline_comparison_manifest.json,,,,
table,supplementary_table_s7_baseline_results,Supplementary Table S7. Full baseline results and paired statistics,results/nature_supporting_package/tables/supplementary_table_s7_baseline_results.csv,results/nature_supporting_package/tables/supplementary_table_s7_baseline_results.md,results/nature_manuscript_tables/table_3_baseline_comparison.csv,,,,
table,supplementary_table_s8_ablation_results,Supplementary Table S8. Ablation results,results/nature_supporting_package/tables/supplementary_table_s8_ablation_results.csv,results/nature_supporting_package/tables/supplementary_table_s8_ablation_results.md,results/nature_manuscript_tables/table_4_ablation_delta.csv,,,,
table,supplementary_table_s9_reliability_calibration,"Supplementary Table S9. Reliability, calibration and risk coverage",results/nature_supporting_package/tables/supplementary_table_s9_reliability_calibration.csv,results/nature_supporting_package/tables/supplementary_table_s9_reliability_calibration.md,results/nature_manuscript_tables/table_5_reliability_boundary_niche.csv,,,,
table,supplementary_table_s10_he_morphology_contribution,Supplementary Table S10. H&E morphology contribution controls,results/nature_supporting_package/tables/supplementary_table_s10_he_morphology_contribution.csv,results/nature_supporting_package/tables/supplementary_table_s10_he_morphology_contribution.md,results/nature_manuscript_tables/table_9_imagegate_supplement.csv,,,,
table,supplementary_table_s11_boundary_marker_validation,Supplementary Table S11. Boundary preservation and marker validation,results/nature_supporting_package/tables/supplementary_table_s11_boundary_marker_validation.csv,results/nature_supporting_package/tables/supplementary_table_s11_boundary_marker_validation.md,results/nature_main/cytassist_rep2_radius55/nature_analysis/boundary_marker_validation.csv,,,,
table,supplementary_table_s12_niche_validation,Supplementary Table S12. Niche composition and biological validation,results/nature_supporting_package/tables/supplementary_table_s12_niche_validation.csv,results/nature_supporting_package/tables/supplementary_table_s12_niche_validation.md,results/nature_main/cytassist_rep2_radius55/nature_analysis/niche_biological_summary.csv,,,,
table,supplementary_table_s13_external_generalization,Supplementary Table S13. External no-retuning and matched-GT transfer,results/nature_supporting_package/tables/supplementary_table_s13_external_generalization.csv,results/nature_supporting_package/tables/supplementary_table_s13_external_generalization.md,results/nature_manuscript_tables/table_6_external_generalization.csv,,,,
table,supplementary_table_s14_rep1_retuning_budget,Supplementary Table S14. Rep1 minimal-retuning budget curve,results/nature_supporting_package/tables/supplementary_table_s14_rep1_retuning_budget.csv,results/nature_supporting_package/tables/supplementary_table_s14_rep1_retuning_budget.md,results/nature_manuscript_tables/table_11_rep1_retune_budget_curve.csv,,,,
table,supplementary_table_s15_robustness_stress_tests,Supplementary Table S15. Robustness stress tests,results/nature_supporting_package/tables/supplementary_table_s15_robustness_stress_tests.csv,results/nature_supporting_package/tables/supplementary_table_s15_robustness_stress_tests.md,results/nature_manuscript_tables/table_7_robustness_summary.csv,,,,
table,supplementary_table_s16_benchmark_sensitivity,Supplementary Table S16. Benchmark sensitivity,results/nature_supporting_package/tables/supplementary_table_s16_benchmark_sensitivity.csv,results/nature_supporting_package/tables/supplementary_table_s16_benchmark_sensitivity.md,results/nature_manuscript_tables/table_10_benchmark_sensitivity.csv,,,,
table,supplementary_table_s17_leakage_fairness_audit,Supplementary Table S17. Leakage and fairness audit,results/nature_supporting_package/tables/supplementary_table_s17_leakage_fairness_audit.csv,results/nature_supporting_package/tables/supplementary_table_s17_leakage_fairness_audit.md,results/nature_leakage_fairness_audit/leakage_fairness_checklist.csv,,,,
table,supplementary_table_s18_source_data_release_manifest,"Supplementary Table S18. Source data, release and checksum manifest",results/nature_supporting_package/tables/supplementary_table_s18_source_data_release_manifest.csv,results/nature_supporting_package/tables/supplementary_table_s18_source_data_release_manifest.md,results/nature_release/release_upload_manifest.csv,,,,
table,supplementary_table_s19_compute_hardware_software,"Supplementary Table S19. Compute cost, hardware and software versions",results/nature_supporting_package/tables/supplementary_table_s19_compute_hardware_software.csv,results/nature_supporting_package/tables/supplementary_table_s19_compute_hardware_software.md,environment_report + baseline runtime,,,,
figure,supplementary_figure_s1_benchmark_qc,Supplementary Figure S1. Benchmark construction and QC,,,benchmark datasheet; spot QC; spot coordinates,results/nature_supporting_package/figures/supplementary_figure_s1_benchmark_qc.png,results/nature_supporting_package/figures/supplementary_figure_s1_benchmark_qc.pdf,results/nature_supporting_package/figures/supplementary_figure_s1_benchmark_qc.svg,results/nature_supporting_package/figures/supplementary_figure_s1_benchmark_qc.tif
figure,supplementary_figure_s2_aggregation_sensitivity,Supplementary Figure S2. Aggregation sensitivity,,,benchmark_sensitivity,results/nature_supporting_package/figures/supplementary_figure_s2_aggregation_sensitivity.png,results/nature_supporting_package/figures/supplementary_figure_s2_aggregation_sensitivity.pdf,results/nature_supporting_package/figures/supplementary_figure_s2_aggregation_sensitivity.svg,results/nature_supporting_package/figures/supplementary_figure_s2_aggregation_sensitivity.tif
figure,supplementary_figure_s3_full_celltype_atlas,Supplementary Figure S3. Full cell-type atlas,,,predicted_proportions.csv + spot_coords.csv,results/nature_supporting_package/figures/supplementary_figure_s3_full_celltype_atlas.png,results/nature_supporting_package/figures/supplementary_figure_s3_full_celltype_atlas.pdf,results/nature_supporting_package/figures/supplementary_figure_s3_full_celltype_atlas.svg,results/nature_supporting_package/figures/supplementary_figure_s3_full_celltype_atlas.tif
figure,supplementary_figure_s4_baseline_fairness,Supplementary Figure S4. Baseline fairness package,,,baseline_comparison,results/nature_supporting_package/figures/supplementary_figure_s4_baseline_fairness.png,results/nature_supporting_package/figures/supplementary_figure_s4_baseline_fairness.pdf,results/nature_supporting_package/figures/supplementary_figure_s4_baseline_fairness.svg,results/nature_supporting_package/figures/supplementary_figure_s4_baseline_fairness.tif
figure,supplementary_figure_s5_leakage_negative_controls,Supplementary Figure S5. Leakage and negative controls,,,nature_leakage_fairness_audit,results/nature_supporting_package/figures/supplementary_figure_s5_leakage_negative_controls.png,results/nature_supporting_package/figures/supplementary_figure_s5_leakage_negative_controls.pdf,results/nature_supporting_package/figures/supplementary_figure_s5_leakage_negative_controls.svg,results/nature_supporting_package/figures/supplementary_figure_s5_leakage_negative_controls.tif
figure,supplementary_figure_s6_ablation_mechanism,Supplementary Figure S6. Ablation mechanism wall,,,ablations250/ablation_summary.csv,results/nature_supporting_package/figures/supplementary_figure_s6_ablation_mechanism.png,results/nature_supporting_package/figures/supplementary_figure_s6_ablation_mechanism.pdf,results/nature_supporting_package/figures/supplementary_figure_s6_ablation_mechanism.svg,results/nature_supporting_package/figures/supplementary_figure_s6_ablation_mechanism.tif
figure,supplementary_figure_s7_he_morphology_contribution,Supplementary Figure S7. H&E morphology contribution,,,image_contribution per-spot paired controls,results/nature_supporting_package/figures/supplementary_figure_s7_he_morphology_contribution.png,results/nature_supporting_package/figures/supplementary_figure_s7_he_morphology_contribution.pdf,results/nature_supporting_package/figures/supplementary_figure_s7_he_morphology_contribution.svg,results/nature_supporting_package/figures/supplementary_figure_s7_he_morphology_contribution.tif
figure,supplementary_figure_s8_reliability_calibration,Supplementary Figure S8. Reliability calibration details,,,nature_analysis reliability files,results/nature_supporting_package/figures/supplementary_figure_s8_reliability_calibration.png,results/nature_supporting_package/figures/supplementary_figure_s8_reliability_calibration.pdf,results/nature_supporting_package/figures/supplementary_figure_s8_reliability_calibration.svg,results/nature_supporting_package/figures/supplementary_figure_s8_reliability_calibration.tif
figure,supplementary_figure_s9_boundary_preservation,Supplementary Figure S9. Boundary preservation details,,,nature_analysis boundary files,results/nature_supporting_package/figures/supplementary_figure_s9_boundary_preservation.png,results/nature_supporting_package/figures/supplementary_figure_s9_boundary_preservation.pdf,results/nature_supporting_package/figures/supplementary_figure_s9_boundary_preservation.svg,results/nature_supporting_package/figures/supplementary_figure_s9_boundary_preservation.tif
figure,supplementary_figure_s10_niche_biological_validation,Supplementary Figure S10. Niche biological validation,,,nature_analysis niche files,results/nature_supporting_package/figures/supplementary_figure_s10_niche_biological_validation.png,results/nature_supporting_package/figures/supplementary_figure_s10_niche_biological_validation.pdf,results/nature_supporting_package/figures/supplementary_figure_s10_niche_biological_validation.svg,results/nature_supporting_package/figures/supplementary_figure_s10_niche_biological_validation.tif
figure,supplementary_figure_s11_external_generalization,Supplementary Figure S11. External generalization,,,external summaries,results/nature_supporting_package/figures/supplementary_figure_s11_external_generalization.png,results/nature_supporting_package/figures/supplementary_figure_s11_external_generalization.pdf,results/nature_supporting_package/figures/supplementary_figure_s11_external_generalization.svg,results/nature_supporting_package/figures/supplementary_figure_s11_external_generalization.tif
figure,supplementary_figure_s12_robustness_stress_tests,Supplementary Figure S12. Robustness stress tests,,,"robustness, patch, split, benchmark sensitivity",results/nature_supporting_package/figures/supplementary_figure_s12_robustness_stress_tests.png,results/nature_supporting_package/figures/supplementary_figure_s12_robustness_stress_tests.pdf,results/nature_supporting_package/figures/supplementary_figure_s12_robustness_stress_tests.svg,results/nature_supporting_package/figures/supplementary_figure_s12_robustness_stress_tests.tif
figure,supplementary_figure_s13_external_pathology_validation,Supplementary Figure S13. External pathology validation,,,nature_external_pathology_validation,results/nature_supporting_package/figures/supplementary_figure_s13_external_pathology_validation.png,results/nature_supporting_package/figures/supplementary_figure_s13_external_pathology_validation.pdf,results/nature_supporting_package/figures/supplementary_figure_s13_external_pathology_validation.svg,results/nature_supporting_package/figures/supplementary_figure_s13_external_pathology_validation.tif
figure,supplementary_figure_s14_reproducibility_release,Supplementary Figure S14. Reproducibility and release map,,,nature_release,results/nature_supporting_package/figures/supplementary_figure_s14_reproducibility_release.png,results/nature_supporting_package/figures/supplementary_figure_s14_reproducibility_release.pdf,results/nature_supporting_package/figures/supplementary_figure_s14_reproducibility_release.svg,results/nature_supporting_package/figures/supplementary_figure_s14_reproducibility_release.tif
figure,supplementary_figure_s15_compute_scalability,Supplementary Figure S15. Compute and scalability,,,baseline runtime + training history + environment,results/nature_supporting_package/figures/supplementary_figure_s15_compute_scalability.png,results/nature_supporting_package/figures/supplementary_figure_s15_compute_scalability.pdf,results/nature_supporting_package/figures/supplementary_figure_s15_compute_scalability.svg,results/nature_supporting_package/figures/supplementary_figure_s15_compute_scalability.tif
